,scores,ds
0,0,19990122
1,0,19990125
2,0,19990126
3,0,19990127
4,0,19990128
5,0,19990129
6,0,19990201
7,0,19990202
8,0,19990203
9,0,19990204
10,0,19990205
11,0,19990208
12,0,19990209
13,0,19990210
14,0,19990211
15,0,19990212
16,0,19990216
17,0,19990217
18,0,19990218
19,0,19990219
20,0,19990222
21,0,19990223
22,0,19990224
23,0,19990225
24,0,19990226
25,0,19990301
26,0,19990302
27,0,19990303
28,0,19990304
29,0,19990305
30,0,19990308
31,0,19990309
32,0,19990310
33,0,19990311
34,0,19990312
35,0,19990315
36,0,19990316
37,0,19990317
38,0,19990318
39,0,19990319
40,0,19990322
41,0,19990323
42,0,19990324
43,0,19990325
44,0,19990326
45,0,19990329
46,0,19990330
47,0,19990331
48,0,19990401
49,0,19990405
50,0,19990406
51,0,19990407
52,0,19990408
53,0,19990409
54,0,19990412
55,0,19990413
56,0,19990414
57,0,19990415
58,0,19990416
59,0,19990419
60,0,19990420
61,0,19990421
62,0,19990422
63,0,19990423
64,0,19990426
65,0,19990427
66,0,19990428
67,0,19990429
68,0,19990430
69,0,19990503
70,0,19990504
71,0,19990505
72,0,19990506
73,0,19990507
74,0,19990510
75,0,19990511
76,0,19990512
77,0,19990513
78,0,19990514
79,0,19990517
80,0,19990518
81,0,19990519
82,0,19990520
83,0,19990521
84,0,19990524
85,0,19990525
86,0,19990526
87,0,19990527
88,0,19990528
89,0,19990601
90,0,19990602
91,0,19990603
92,0,19990604
93,0,19990607
94,0,19990608
95,0,19990609
96,0,19990610
97,0,19990611
98,0,19990614
99,0,19990615
100,0,19990616
101,0,19990617
102,0,19990618
103,0,19990621
104,0,19990622
105,0,19990623
106,0,19990624
107,0,19990625
108,0,19990628
109,0,19990629
110,0,19990630
111,0,19990701
112,0,19990702
113,0,19990706
114,0,19990707
115,0,19990708
116,0,19990709
117,0,19990712
118,0,19990713
119,0,19990714
120,0,19990715
121,0,19990716
122,0,19990719
123,0,19990720
124,0,19990721
125,0,19990722
126,0,19990723
127,0,19990726
128,0,19990727
129,0,19990728
130,0,19990729
131,0,19990730
132,0,19990802
133,0,19990803
134,0,19990804
135,0,19990805
136,0,19990806
137,0,19990809
138,0,19990810
139,0,19990811
140,0,19990812
141,0,19990813
142,0,19990816
143,0,19990817
144,0,19990818
145,0,19990819
146,0,19990820
147,0,19990823
148,0,19990824
149,0,19990825
150,0,19990826
151,0,19990827
152,0,19990830
153,0,19990831
154,0,19990901
155,0,19990902
156,0,19990903
157,0,19990907
158,0,19990908
159,0,19990909
160,0,19990910
161,0,19990913
162,0,19990914
163,0,19990915
164,0,19990916
165,0,19990917
166,0,19990920
167,0,19990921
168,0,19990922
169,0,19990923
170,0,19990924
171,0,19990927
172,0,19990928
173,0,19990929
174,0,19990930
175,0,19991001
176,0,19991004
177,0,19991005
178,0,19991006
179,0,19991007
180,0,19991008
181,0,19991011
182,0,19991012
183,0,19991013
184,0,19991014
185,0,19991015
186,0,19991018
187,0,19991019
188,0,19991020
189,0,19991021
190,0,19991022
191,0,19991025
192,0,19991026
193,0,19991027
194,0,19991028
195,0,19991029
196,0,19991101
197,0,19991102
198,0,19991103
199,0,19991104
200,0,19991105
201,0,19991108
202,0,19991109
203,0,19991110
204,0,19991111
205,0,19991112
206,0,19991115
207,0,19991117
208,0,19991118
209,0,19991119
210,0,19991122
211,0,19991123
212,0,19991124
213,0,19991126
214,0,19991129
215,0,19991130
216,0,19991201
217,0,19991202
218,0,19991203
219,0,19991206
220,0,19991207
221,0,19991208
222,0,19991209
223,0,19991210
224,0,19991213
225,0,19991214
226,0,19991215
227,0,19991216
228,0,19991217
229,0,19991220
230,0,19991221
231,0,19991222
232,0,19991223
233,0,19991227
234,0,19991228
235,0,19991229
236,0,19991230
237,0,19991231
238,0,20000103
239,0,20000104
240,0,20000105
241,0,20000106
242,0,20000107
243,0,20000110
244,0,20000111
245,0,20000112
246,0,20000113
247,0,20000114
248,0,20000118
249,0,20000119
250,0,20000120
251,0,20000121
252,0,20000124
253,0,20000125
254,0,20000126
255,0,20000127
256,0,20000128
257,0,20000131
258,0,20000201
259,0,20000202
260,0,20000203
261,0,20000204
262,0,20000207
263,0,20000208
264,0,20000209
265,0,20000210
266,0,20000211
267,0,20000214
268,0,20000215
269,0,20000216
270,0,20000217
271,0,20000218
272,0,20000222
273,0,20000223
274,0,20000224
275,0,20000225
276,0,20000228
277,0,20000229
278,0,20000301
279,0,20000302
280,0,20000303
281,0,20000306
282,0,20000307
283,0,20000308
284,0,20000309
285,0,20000310
286,0,20000313
287,0,20000314
288,0,20000315
289,0,20000316
290,0,20000317
291,0,20000320
292,0,20000321
293,0,20000322
294,0,20000323
295,0,20000324
296,0,20000327
297,0,20000328
298,0,20000329
299,0,20000330
300,0,20000331
301,0,20000403
302,0,20000404
303,0,20000405
304,0,20000406
305,0,20000407
306,0,20000410
307,0,20000411
308,0,20000412
309,0,20000413
310,0,20000414
311,0,20000417
312,0,20000418
313,0,20000419
314,0,20000420
315,0,20000424
316,0,20000425
317,0,20000426
318,0,20000427
319,0,20000428
320,0,20000501
321,0,20000502
322,0,20000503
323,0,20000504
324,0,20000505
325,0,20000508
326,0,20000509
327,0,20000510
328,0,20000511
329,0,20000512
330,0,20000515
331,0,20000516
332,0,20000517
333,0,20000518
334,0,20000519
335,0,20000522
336,0,20000523
337,0,20000524
338,0,20000525
339,0,20000526
340,0,20000530
341,0,20000531
342,0,20000601
343,0,20000602
344,0,20000605
345,0,20000606
346,0,20000607
347,0,20000608
348,0,20000609
349,0,20000612
350,0,20000613
351,0,20000614
352,0,20000615
353,0,20000616
354,0,20000619
355,0,20000620
356,0,20000621
357,0,20000622
358,0,20000623
359,0,20000626
360,0,20000627
361,0,20000628
362,0,20000629
363,0,20000630
364,0,20000703
365,0,20000705
366,0,20000706
367,0,20000707
368,0,20000710
369,0,20000711
370,0,20000712
371,0,20000713
372,0,20000714
373,0,20000717
374,0,20000718
375,0,20000719
376,0,20000720
377,0,20000721
378,0,20000724
379,0,20000725
380,0,20000726
381,0,20000727
382,0,20000728
383,0,20000731
384,0,20000801
385,0,20000802
386,0,20000803
387,0,20000804
388,0,20000807
389,0,20000808
390,0,20000809
391,0,20000810
392,0,20000811
393,0,20000814
394,0,20000815
395,0,20000816
396,0,20000817
397,0,20000818
398,0,20000821
399,0,20000822
400,0,20000823
401,0,20000824
402,0,20000825
403,0,20000828
404,0,20000829
405,0,20000830
406,0,20000831
407,0,20000901
408,0,20000905
409,0,20000906
410,0,20000907
411,0,20000908
412,0,20000911
413,0,20000912
414,0,20000913
415,0,20000914
416,0,20000915
417,0,20000918
418,0,20000919
419,0,20000920
420,0,20000921
421,0,20000922
422,0,20000925
423,0,20000926
424,0,20000927
425,0,20000928
426,0,20000929
427,0,20001002
428,0,20001003
429,0,20001004
430,0,20001005
431,0,20001006
432,0,20001009
433,0,20001010
434,0,20001011
435,0,20001012
436,0,20001013
437,0,20001016
438,0,20001017
439,0,20001018
440,0,20001019
441,0,20001020
442,0,20001023
443,0,20001024
444,0,20001025
445,0,20001026
446,0,20001027
447,0,20001030
448,0,20001031
449,0,20001101
450,0,20001102
451,0,20001103
452,0,20001106
453,0,20001107
454,0,20001108
455,0,20001109
456,0,20001110
457,0,20001113
458,0,20001114
459,0,20001115
460,0,20001116
461,0,20001117
462,0,20001120
463,0,20001121
464,0,20001122
465,0,20001124
466,0,20001127
467,0,20001128
468,0,20001129
469,0,20001130
470,0,20001201
471,0,20001204
472,0,20001205
473,0,20001206
474,0,20001207
475,0,20001208
476,0,20001211
477,0,20001212
478,0,20001213
479,0,20001214
480,0,20001215
481,0,20001218
482,0,20001219
483,0,20001220
484,0,20001221
485,0,20001222
486,0,20001226
